{'短评内容': '空调是坏的第二天起来都感冒了，被子是夏天的', '短评打分': 1}
{'短评内容': '交通方便  卫生良好 就是床单必须3天才能换一次的 这点不好 性价比挺好的', '短评打分': 5}
{'短评内容': '比较新概念的酒店吧……离城里有点远，但是坐公共汽车很方便，而且对面就是汽车南站\r\n电脑房每天多20块钱就可以上网了，也不错。如果不要电脑房，一层有免费的电脑可以使用。\r\n建议屋内的设施可以多加一些，沙发啊，柜子之类。另外借吹风机要交200块钱的押金……\r\n我们到的时候很早，早上九点多就可以入住了，也很好。性价比比较高，因为价钱比较便宜。\r\n床上用品是一次性的。\r\n另外，其实有二合一的洗发、沐浴液', '短评打分': 5}
{'短评内容': '卫生服务都非常好,住着很舒适,就是电脑的键盘不太好用,而且不提供洗漱用品感觉不太好.', '短评打分': 3}
{'短评内容': '\n酒店设施非常简陋,位置很偏,但是价格还是很便宜的,卫生服务还都不错.', '短评打分': 3}
{'短评内容': '酒店服务态度不太好,设施比较简陋和想象差很多,卫生很好,地理位置非常好很好找.', '短评打分': 3}
{'短评内容': '酒店还不错,它的床单被子枕头都是一次性不舒服,设施比较简单,服务很热情.', '短评打分': 3}
{'短评内容': '酒店的没有窗户，空气不流通，服务很好的，酒店的位置不错的，出行很方便的，酒店的价格还可以的。', '短评打分': 3}
{'短评内容': '房间比较矮很压抑,设施很一般,卫生服务还可以,地理位置有点偏.', '短评打分': 3}
{'短评内容': ' 地理位置还行  主要就是价格实惠 其它一般 ', '短评打分': 5}
{'短评内容': '价格很便宜，地理位置也不错挺方便的，还是值得推荐的', '短评打分': 3}
{'短评内容': '这家酒店的价格确实挺实惠的,房间里卫生打扫的也蛮干净的,就是设施条件一般了.这家酒店比较适合经济型人仕和学生入住.', '短评打分': 5}
{'短评内容': '整体感觉不太好，环境一般，房间里没有电视，只电脑，要用的话需要另收费，房间里拖鞋神圣们的都没有，位置也有点偏', '短评打分': 1}
{'短评内容': '服务不到位，服务态度需改进，别的还好了。（住店时出门要坐公交，零钱不够用，想在店方超市换点零钱都不行很遗憾我很想给一个全好但需改进的地方很多。', '短评打分': 5}
{'短评内容': '这家酒店价格确实蛮实惠的,但住宿条件一般了,卫生打扫的倒是挺干净,服务也很热情.整体感觉还可以.', '短评打分': 5}
{'短评内容': '正好赶上酒店早上7点开始空调维修，check in的时候要求给个电风扇，前台经理还百般刁难！明明里面有电扇，硬是说早上给送来，难道早上5点给送个电扇？相当不讲道理！\r\n进了房间才知道，为什么要修空调了，空调只有在吹风口下面才感觉到凉，房间只有10几平，竟然完全感觉不到有空调，38度的天把我跟老公热坏了，晚上开车去西湖逛了一圈，11点回到酒店电扇已经送来了，竟然是个坏的~~这个时候把我们惹怒了，打电', '短评打分': 1}
{'短评内容': '设施比较简陋，连牙刷都要自备的。床铺都是一次性的，这蛮好的。只不过这中央空调有点BT的，房间温度一直30&#176;左右，热死了。而且貌似还是红外控制，一段时间检测不到人，就关掉空调了貌似！但是还是比较经济实惠的。适合大学生', '短评打分': 5}
{'短评内容': '住了四天，用的是一次性被套床单，难道就不能给我换一次么》？？？都起球了\r\n这个是比较郁闷的', '短评打分': 5}
{'短评内容': '酒店的价格都是蛮实惠的,不过设施方面太简陋了,一些日用品要自己准备的,我觉得比较适合学生,一些经济型旅游人仕.', '短评打分': 1}
